Vivado Simulator 2018.2
Time resolution is 1 ps
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =          5, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =          5, Z= 4294967280
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =          5, Z=          8
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =          5, Z=          8
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =          5, Z=          8
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =          5, Z=          8
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =          5, Z=          5
clk = 0, U=1, V= 1,W =         32, X = 1076953395, Y =          5, Z=          5
clk = 1, U=1, V= 0,W =         36, X = 4271895407, Y =          5, Z= 4294967272
clk = 0, U=1, V= 0,W =         36, X = 4271895407, Y =          5, Z= 4294967272
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =          5, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =          5, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =          8, Z=          8
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =          8, Z=          8
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =          8, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =          8, Z= 4294967280
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =          8, Z=         13
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =          8, Z=         13
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =          8, Z=         13
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =          8, Z=         13
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =          8, Z=          8
clk = 0, U=1, V= 1,W =         32, X = 1076953395, Y =          8, Z=          8
clk = 1, U=1, V= 0,W =         36, X = 4271895407, Y =          8, Z= 4294967272
clk = 0, U=1, V= 0,W =         36, X = 4271895407, Y =          8, Z= 4294967272
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =          8, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =          8, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =         13, Z=         13
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =         13, Z=         13
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =         13, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =         13, Z= 4294967280
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =         13, Z=         21
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =         13, Z=         21
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =         13, Z=         21
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =         13, Z=         21
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =         13, Z=         13
clk = 0, U=1, V= 1,W =         32, X = 1076953395, Y =         13, Z=         13
clk = 1, U=1, V= 0,W =         36, X = 4271895407, Y =         13, Z= 4294967272
clk = 0, U=1, V= 0,W =         36, X = 4271895407, Y =         13, Z= 4294967272
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =         13, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =         13, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =         21, Z=         21
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =         21, Z=         21
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =         21, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =         21, Z= 4294967280
